ProductID,Category,UnitPrice
P00209,Jerseys,187.93
P00210,Accessories,61.31
P00211,Training Gear,35.33
P00212,Fan Merchandise,83.43
P00213,Footwear,111.11
P00214,Training Gear,63.3
P00215,Fan Merchandise,20.76
P00216,Jerseys,56.83
P00217,Training Gear,103.72
P00218,Fan Merchandise,56.71
P00219,Training Gear,51.26
P00220,Training Gear,41.0
P00221,Footwear,135.04
P00222,Fan Merchandise,43.78
P00223,Jerseys,99.03
P00224,Training Gear,48.99
P00225,Training Gear,140.02
P00226,Training Gear,157.7
P00227,Fan Merchandise,37.96
P00228,Fan Merchandise,62.96
P00229,Jerseys,180.5
P00230,Jerseys,58.91
P00231,Footwear,203.45
P00232,Training Gear,88.88
P00233,Fan Merchandise,52.64
P00234,Accessories,63.99
P00235,Jerseys,90.22
P00236,Accessories,88.22
P00237,Accessories,83.23
P00238,Training Gear,31.6
P00239,Training Gear,97.92
P00240,Accessories,105.7
P00241,Fan Merchandise,75.59
P00242,Footwear,152.66
P00243,Footwear,75.76
P00244,Accessories,44.72
P00245,Fan Merchandise,22.98
P00246,Footwear,187.95
P00247,Footwear,180.16
P00248,Accessories,101.04
P00249,Footwear,51.41
P00250,Jerseys,194.88
P00251,Accessories,106.64
P00252,Training Gear,113.77
P00253,Jerseys,182.85
P00254,Footwear,118.92
P00255,Footwear,96.41
P00256,Footwear,67.79
P00257,Fan Merchandise,14.31
P00258,Accessories,14.2
P00259,Footwear,164.48
P00260,Training Gear,65.79
P00261,Fan Merchandise,15.95
P00262,Footwear,60.2
P00263,Jerseys,151.47
P00264,Training Gear,151.29
P00265,Fan Merchandise,41.78
P00266,Training Gear,128.43
P00267,Footwear,215.24
P00268,Fan Merchandise,63.71
P00269,Footwear,170.14
P00270,Jerseys,144.31
P00271,Fan Merchandise,83.37
P00272,Fan Merchandise,33.89
P00273,Footwear,180.94
P00274,Footwear,114.71
P00275,Fan Merchandise,23.35
P00276,Footwear,173.09
P00277,Jerseys,175.26
P00278,Footwear,195.45
P00279,Footwear,205.94
P00280,Training Gear,123.78
P00281,Footwear,134.97
P00282,Accessories,103.87
P00283,Fan Merchandise,27.3
P00284,Footwear,53.92
P00285,Accessories,53.16
P00286,Jerseys,139.42
P00287,Training Gear,114.56
P00288,Fan Merchandise,71.53
P00289,Fan Merchandise,13.95
P00290,Jerseys,171.3
P00291,Training Gear,103.22
P00292,Accessories,105.29
P00293,Jerseys,105.45
P00294,Footwear,151.06
P00295,Footwear,177.98
P00296,Jerseys,129.88
P00297,Jerseys,77.61
P00298,Training Gear,25.07
P00299,Training Gear,33.82
P00300,Footwear,129.08
P00301,Training Gear,108.82
P00302,Fan Merchandise,53.65
P00303,Accessories,81.29
P00304,Training Gear,23.54
P00305,Fan Merchandise,21.95
P00306,Accessories,86.11
P00307,Footwear,180.61
P00308,Jerseys,156.83
P00309,Training Gear,123.85
P00310,Footwear,213.42
P00311,Footwear,209.96
P00312,Jerseys,148.45
P00313,Accessories,41.93
P00314,Jerseys,57.05
P00315,Training Gear,107.69
P00316,Jerseys,117.54
P00317,Training Gear,38.88
P00318,Accessories,31.53
P00319,Accessories,103.65
P00320,Footwear,51.92
P00321,Jerseys,169.18
P00322,Training Gear,146.09
P00323,Fan Merchandise,62.25
P00324,Accessories,16.13
P00325,Training Gear,138.11
P00326,Fan Merchandise,59.69
P00327,Footwear,89.87
P00328,Accessories,72.97
P00329,Fan Merchandise,21.97
P00330,Fan Merchandise,63.66
P00331,Footwear,202.54
P00332,Jerseys,130.64
P00333,Jerseys,193.06
P00334,Jerseys,118.52
P00335,Footwear,194.36
P00336,Accessories,87.36
P00337,Accessories,18.84
P00338,Footwear,204.28
P00339,Accessories,101.04
P00340,Footwear,103.25
P00341,Jerseys,170.05
P00342,Fan Merchandise,28.4
P00343,Training Gear,22.32
P00344,Jerseys,85.15
P00345,Training Gear,86.73
P00346,Training Gear,26.2
P00347,Accessories,26.0
P00348,Training Gear,152.96
P00349,Jerseys,126.61
P00350,Footwear,188.16
P00351,Training Gear,47.34
P00352,Accessories,18.85
P00353,Jerseys,168.18
P00354,Footwear,102.79
P00355,Footwear,122.76
P00356,Footwear,218.58
P00357,Footwear,96.98
P00358,Training Gear,85.19
P00359,Jerseys,147.05
P00360,Fan Merchandise,18.5
P00361,Footwear,168.96
P00362,Jerseys,120.5
P00363,Training Gear,42.85
P00364,Footwear,117.5
P00365,Jerseys,121.8
P00366,Training Gear,108.98
P00367,Footwear,208.68
P00368,Footwear,177.71
P00369,Training Gear,72.31
P00370,Jerseys,195.6
P00371,Fan Merchandise,69.73
P00372,Footwear,45.03
P00373,Jerseys,71.91
P00374,Accessories,31.8
P00375,Fan Merchandise,18.1
P00376,Jerseys,125.39
P00377,Training Gear,66.38
P00378,Fan Merchandise,83.02
P00379,Accessories,57.27
P00380,Accessories,31.22
P00381,Accessories,107.07
P00382,Fan Merchandise,49.51
P00383,Footwear,53.15
P00384,Training Gear,29.48
P00385,Accessories,77.53
P00386,Training Gear,88.26
P00387,Training Gear,106.64
P00388,Footwear,192.94
P00389,Jerseys,153.8
P00390,Accessories,96.18
P00391,Accessories,84.27
P00392,Training Gear,113.76
P00393,Footwear,64.25
P00394,Accessories,58.28
P00395,Training Gear,79.5
P00396,Training Gear,94.78
P00397,Footwear,110.41
P00398,Training Gear,106.1
P00399,Footwear,110.64
P00400,Accessories,65.76
P00401,Jerseys,112.26
P00402,Accessories,100.18
P00403,Footwear,107.21
P00404,Jerseys,160.99
P00405,Jerseys,143.99
P00406,Training Gear,72.74
P00407,Accessories,90.76
P00408,Fan Merchandise,79.71
P00409,Fan Merchandise,67.52
P00410,Jerseys,192.55
P00411,Footwear,118.54
P00412,Footwear,204.47
P00413,Accessories,97.62
P00414,Training Gear,126.26
P00415,Jerseys,176.1
P00416,Fan Merchandise,65.3
P00417,Training Gear,90.75
P00418,Training Gear,96.44
P00419,Jerseys,115.56
P00420,Training Gear,112.33
P00421,Accessories,42.48
P00422,Accessories,83.97
P00423,Fan Merchandise,48.87
P00424,Jerseys,106.21
P00425,Fan Merchandise,22.75
P00426,Fan Merchandise,30.65
P00427,Fan Merchandise,58.73
P00428,Training Gear,70.52
P00429,Accessories,13.32
P00430,Footwear,99.35
P00431,Jerseys,108.12
P00432,Training Gear,51.27
P00433,Accessories,38.63
P00434,Training Gear,118.1
P00435,Jerseys,163.21
P00436,Accessories,105.89
P00437,Training Gear,34.77
P00438,Fan Merchandise,34.76
P00439,Jerseys,66.17
P00440,Footwear,150.39
P00441,Training Gear,20.33
P00442,Fan Merchandise,26.99
P00443,Accessories,68.7
P00444,Accessories,45.87
P00445,Footwear,137.99
P00446,Jerseys,147.83
P00447,Footwear,191.01
P00448,Footwear,110.72
P00449,Training Gear,57.6
P00450,Jerseys,133.13
P00451,Fan Merchandise,17.09
P00452,Accessories,14.19
P00453,Footwear,121.4
P00454,Jerseys,86.62
P00455,Footwear,41.3
P00456,Fan Merchandise,61.59
P00457,Training Gear,133.89
P00458,Fan Merchandise,22.8
P00459,Fan Merchandise,53.16
P00460,Training Gear,157.73
P00461,Fan Merchandise,31.62
P00462,Accessories,83.08
P00463,Fan Merchandise,23.83
P00464,Jerseys,190.15
P00465,Footwear,40.08
P00466,Fan Merchandise,33.52
P00467,Fan Merchandise,83.28
P00468,Jerseys,152.25
P00469,Training Gear,48.08
P00470,Footwear,182.45
P00471,Fan Merchandise,77.56
P00472,Training Gear,87.19
P00473,Jerseys,77.62
P00474,Training Gear,54.72
P00475,Training Gear,151.92
P00476,Fan Merchandise,23.76
P00477,Training Gear,62.29
P00478,Fan Merchandise,22.62
P00479,Accessories,20.56
P00480,Fan Merchandise,50.11
P00481,Jerseys,112.52
P00482,Jerseys,61.69
P00483,Footwear,66.14
P00484,Jerseys,60.46
P00485,Fan Merchandise,13.8
P00486,Training Gear,43.34
P00487,Training Gear,123.6
P00488,Footwear,42.66
P00489,Accessories,40.45
P00490,Accessories,66.48
P00491,Footwear,173.87
P00492,Accessories,77.79
P00493,Jerseys,198.32
P00494,Training Gear,57.14
P00495,Jerseys,55.02
P00496,Training Gear,23.43
P00497,Training Gear,31.85
P00498,Fan Merchandise,83.19
P00499,Footwear,142.61
P00500,Jerseys,170.91
P00501,Training Gear,157.88
P00502,Footwear,191.97
P00503,Footwear,113.37
P00504,Training Gear,142.38
P00505,Fan Merchandise,43.66
P00506,Fan Merchandise,20.32
P00507,Footwear,138.66
P00508,Accessories,101.57
P00509,Training Gear,129.4
P00510,Jerseys,113.28
P00511,Footwear,193.88
P00512,Footwear,123.55
P00513,Accessories,78.46
P00514,Jerseys,103.3
P00515,Training Gear,45.65
P00516,Jerseys,100.45
P00517,Footwear,197.53
P00518,Training Gear,158.55
P00519,Training Gear,55.48
P00520,Fan Merchandise,24.07
P00521,Training Gear,28.09
P00522,Footwear,175.69
P00523,Accessories,62.8
P00524,Footwear,140.1
P00525,Accessories,14.52
P00526,Fan Merchandise,17.92
P00527,Training Gear,147.88
P00528,Footwear,143.81
P00529,Jerseys,86.78
P00530,Training Gear,47.46
P00531,Accessories,34.09
P00532,Jerseys,64.24
P00533,Jerseys,62.22
P00534,Jerseys,159.4
P00535,Accessories,36.38
P00536,Accessories,48.45
P00537,Accessories,63.74
P00538,Accessories,42.01
P00539,Accessories,57.88
P00540,Footwear,195.7
P00541,Footwear,83.94
P00542,Jerseys,169.73
P00543,Training Gear,55.48
P00544,Fan Merchandise,25.65
P00545,Footwear,53.08
P00546,Accessories,78.42
P00547,Accessories,51.16
P00548,Accessories,87.04
P00549,Fan Merchandise,21.68
P00550,Training Gear,103.68
P00551,Footwear,42.34
P00552,Accessories,33.38
P00553,Accessories,70.96
P00554,Accessories,15.6
P00555,Footwear,107.9
P00556,Accessories,66.17
P00557,Footwear,170.97
P00558,Fan Merchandise,63.51
P00559,Fan Merchandise,22.82
P00560,Jerseys,65.9
P00561,Training Gear,71.44
P00562,Training Gear,52.19
P00563,Accessories,40.57
P00564,Training Gear,66.63
P00565,Training Gear,74.4
P00566,Footwear,133.35
P00567,Accessories,10.93
P00568,Accessories,39.8
P00569,Fan Merchandise,31.3
P00570,Training Gear,51.54
P00571,Accessories,88.86
P00572,Footwear,85.23
P00573,Accessories,25.1
P00574,Fan Merchandise,74.18
P00575,Jerseys,110.53
P00576,Footwear,73.13
P00577,Jerseys,163.93
P00578,Fan Merchandise,59.97
P00579,Footwear,210.15
P00580,Jerseys,182.28
P00581,Footwear,164.98
P00582,Accessories,26.1
P00583,Footwear,126.97
P00584,Footwear,61.38
P00585,Fan Merchandise,52.11
P00586,Footwear,205.02
P00587,Footwear,40.69
P00588,Accessories,97.6
P00589,Footwear,137.08
P00590,Footwear,67.22
P00591,Jerseys,179.1
P00592,Jerseys,132.85
P00593,Accessories,54.82
P00594,Training Gear,88.96
P00595,Jerseys,76.37
P00596,Accessories,21.27
P00597,Training Gear,111.94
P00598,Accessories,98.04
P00599,Fan Merchandise,62.7
P00600,Accessories,94.08
P00601,Accessories,94.48
P00602,Training Gear,22.55
P00603,Footwear,178.77
P00604,Training Gear,127.64
P00605,Accessories,45.0
P00606,Accessories,50.98
P00607,Accessories,84.55
P00608,Jerseys,198.05
P00609,Footwear,217.81
P00610,Training Gear,85.29
P00611,Accessories,88.96
P00612,Training Gear,84.18
P00613,Jerseys,180.56
P00614,Jerseys,149.21
P00615,Jerseys,190.81
P00616,Jerseys,199.6
P00617,Accessories,43.02
P00618,Training Gear,157.06
P00619,Training Gear,116.34
P00620,Accessories,33.81
P00621,Jerseys,55.45
P00622,Accessories,78.38
P00623,Accessories,32.24
P00624,Fan Merchandise,28.89
P00625,Accessories,65.22
P00626,Footwear,45.57
P00627,Footwear,114.95
P00628,Training Gear,131.51
P00629,Fan Merchandise,13.99
P00630,Training Gear,106.6
P00631,Jerseys,77.97
P00632,Accessories,96.28
P00633,Jerseys,111.65
P00634,Training Gear,133.32
P00635,Jerseys,159.95
P00636,Fan Merchandise,76.08
P00637,Footwear,133.03
P00638,Footwear,127.5
P00639,Footwear,46.74
P00640,Accessories,63.38
P00641,Training Gear,92.12
P00642,Training Gear,104.11
P00643,Accessories,23.1
P00644,Accessories,64.0
P00645,Fan Merchandise,45.14
P00646,Footwear,147.28
P00647,Fan Merchandise,60.22
P00648,Fan Merchandise,38.38
P00649,Accessories,60.41
P00650,Footwear,111.12
P00651,Footwear,177.79
P00652,Jerseys,170.48
P00653,Training Gear,59.6
P00654,Accessories,35.95
P00655,Accessories,77.83
P00656,Accessories,87.4
P00657,Fan Merchandise,12.79
P00658,Jerseys,116.98
P00659,Footwear,95.39
P00660,Fan Merchandise,67.96
P00661,Jerseys,75.81
P00662,Jerseys,167.85
P00663,Accessories,76.14
P00664,Jerseys,177.22
P00665,Training Gear,158.61
P00666,Training Gear,85.67
P00667,Training Gear,117.32
P00668,Training Gear,118.81
P00669,Jerseys,177.46
P00670,Jerseys,130.13
P00671,Fan Merchandise,19.86
P00672,Footwear,216.29
P00673,Training Gear,26.07
P00674,Footwear,213.23
P00675,Accessories,35.54
P00676,Fan Merchandise,47.95
P00677,Training Gear,152.99
P00678,Fan Merchandise,61.4
P00679,Accessories,68.56
P00680,Jerseys,102.25
P00681,Accessories,39.24
P00682,Fan Merchandise,14.39
P00683,Accessories,68.63
P00684,Fan Merchandise,43.4
P00685,Footwear,80.37
P00686,Jerseys,110.71
P00687,Training Gear,151.61
P00688,Jerseys,178.02
P00689,Accessories,53.04
P00690,Accessories,108.0
P00691,Training Gear,83.62
P00692,Footwear,102.85
P00693,Jerseys,111.25
P00694,Training Gear,142.2
P00695,Fan Merchandise,31.55
P00696,Accessories,32.21
P00697,Jerseys,194.28
P00698,Jerseys,161.47
P00699,Training Gear,126.46
P00700,Fan Merchandise,66.04
P00701,Training Gear,114.97
P00702,Training Gear,30.96
P00703,Accessories,85.37
P00704,Accessories,34.89
P00705,Fan Merchandise,21.67
P00706,Training Gear,157.59
P00707,Fan Merchandise,14.03
P00708,Footwear,45.69
P00709,Training Gear,62.01
P00710,Fan Merchandise,73.63
P00711,Training Gear,156.87
P00712,Jerseys,72.19
P00713,Accessories,49.54
P00714,Fan Merchandise,65.6
P00715,Fan Merchandise,59.12
P00716,Footwear,82.01
P00717,Jerseys,102.73
P00718,Fan Merchandise,55.39
P00719,Training Gear,23.03
P00720,Footwear,176.48
P00721,Jerseys,94.93
P00722,Accessories,92.83
P00723,Jerseys,154.13
P00724,Footwear,156.17
P00725,Accessories,86.74
P00726,Fan Merchandise,17.48
P00727,Jerseys,92.7
P00728,Jerseys,130.65
P00729,Training Gear,128.36
P00730,Accessories,94.91
P00731,Fan Merchandise,39.89
P00732,Jerseys,170.08
P00733,Training Gear,49.28
P00734,Training Gear,29.71
P00735,Jerseys,90.75
P00736,Fan Merchandise,77.93
P00737,Fan Merchandise,51.71
P00738,Accessories,58.13
P00739,Fan Merchandise,66.26
P00740,Jerseys,56.46
P00741,Accessories,21.83
P00742,Training Gear,32.14
P00743,Footwear,61.9
P00744,Footwear,121.62
P00745,Footwear,90.52
P00746,Training Gear,129.57
P00747,Footwear,191.03
P00748,Footwear,206.49
P00749,Fan Merchandise,26.31
P00750,Fan Merchandise,48.71
P00751,Accessories,14.87
P00752,Training Gear,52.07
P00753,Footwear,150.71
P00754,Accessories,52.24
P00755,Accessories,79.07
P00756,Jerseys,176.69
P00757,Training Gear,26.45
P00758,Accessories,103.86
P00759,Jerseys,61.15
P00760,Footwear,216.7
P00761,Footwear,154.77
P00762,Training Gear,24.15
P00763,Jerseys,112.08
P00764,Training Gear,54.67
P00765,Footwear,183.74
P00766,Training Gear,50.01
P00767,Training Gear,135.32
P00768,Footwear,96.22
P00769,Footwear,218.05
P00770,Fan Merchandise,31.74
P00771,Footwear,163.29
P00772,Jerseys,171.03
P00773,Fan Merchandise,27.8
P00774,Training Gear,28.76
P00775,Fan Merchandise,52.24
P00776,Training Gear,114.15
P00777,Accessories,91.73
P00778,Fan Merchandise,31.91
P00779,Jerseys,181.48
P00780,Fan Merchandise,78.85
P00781,Fan Merchandise,68.88
P00782,Accessories,10.76
P00783,Training Gear,30.38
P00784,Accessories,109.77
P00785,Accessories,83.39
P00786,Accessories,72.68
P00787,Jerseys,185.7
P00788,Jerseys,60.75
P00789,Training Gear,125.55
P00790,Jerseys,149.93
P00791,Fan Merchandise,73.92
P00792,Accessories,87.79
P00793,Training Gear,86.86
P00794,Fan Merchandise,17.18
P00795,Footwear,203.69
P00796,Jerseys,165.71
P00797,Fan Merchandise,38.02
P00798,Footwear,217.11
P00799,Accessories,41.11
P00800,Jerseys,108.73
P00801,Footwear,215.44
P00802,Training Gear,112.87
P00803,Training Gear,142.85
P00804,Fan Merchandise,76.81
P00805,Footwear,136.56
P00806,Training Gear,55.91
P00807,Accessories,94.74
P00808,Training Gear,89.27
P00809,Footwear,141.58
P00810,Footwear,137.45
P00811,Fan Merchandise,12.7
P00812,Training Gear,24.51
P00813,Footwear,150.95
P00814,Jerseys,170.19
P00815,Accessories,55.7
P00816,Training Gear,45.04
P00817,Fan Merchandise,41.68
P00818,Training Gear,127.1
P00819,Fan Merchandise,19.93
P00820,Training Gear,97.55
P00821,Accessories,80.22
P00822,Footwear,114.85
P00823,Fan Merchandise,55.89
P00824,Accessories,98.35
P00825,Accessories,31.28
P00826,Jerseys,74.59
P00827,Fan Merchandise,16.44
P00828,Training Gear,121.12
P00829,Jerseys,185.58
P00830,Training Gear,116.04
P00831,Jerseys,196.59
P00832,Footwear,167.46
P00833,Footwear,91.93
P00834,Accessories,35.56
P00835,Footwear,160.0
P00836,Fan Merchandise,61.33
P00837,Fan Merchandise,50.24
P00838,Accessories,62.69
P00839,Training Gear,77.16
P00840,Training Gear,67.69
P00841,Accessories,73.41
P00842,Footwear,174.55
P00843,Jerseys,172.94
P00844,Fan Merchandise,34.47
P00845,Jerseys,179.37
P00846,Fan Merchandise,34.1
P00847,Fan Merchandise,34.26
P00848,Accessories,90.6
P00849,Footwear,214.49
P00850,Jerseys,190.17
P00851,Jerseys,71.11
P00852,Training Gear,58.96
P00853,Fan Merchandise,67.47
P00854,Fan Merchandise,70.86
P00855,Fan Merchandise,48.81
P00856,Accessories,11.61
P00857,Footwear,130.33
P00858,Footwear,45.61
P00859,Footwear,90.65
P00860,Footwear,158.23
P00861,Jerseys,74.52
P00862,Fan Merchandise,64.01
P00863,Footwear,151.85
P00864,Footwear,117.34
P00865,Footwear,106.99
P00866,Jerseys,187.63
P00867,Footwear,139.57
P00868,Footwear,200.0
P00869,Jerseys,114.8
P00870,Training Gear,102.44
P00871,Jerseys,193.42
P00872,Footwear,62.34
P00873,Accessories,36.28
P00874,Jerseys,187.92
P00875,Accessories,52.2
P00876,Jerseys,94.45
P00877,Training Gear,159.62
P00878,Training Gear,32.51
P00879,Fan Merchandise,56.64
P00880,Footwear,181.85
P00881,Accessories,88.67
P00882,Jerseys,119.07
P00883,Fan Merchandise,15.21
P00884,Footwear,191.38
P00885,Fan Merchandise,70.6
P00886,Jerseys,89.42
P00887,Accessories,44.05
P00888,Jerseys,129.33
P00889,Jerseys,71.55
P00890,Fan Merchandise,71.9
P00891,Accessories,102.21
P00892,Jerseys,99.69
P00893,Footwear,206.33
P00894,Training Gear,131.72
P00895,Accessories,82.78
P00896,Accessories,106.92
P00897,Accessories,42.47
P00898,Accessories,101.56
P00899,Accessories,19.84
P00900,Footwear,126.04
P00901,Accessories,65.2
P00902,Accessories,22.28
P00903,Footwear,172.72
P00904,Fan Merchandise,46.69
P00905,Jerseys,121.05
P00906,Footwear,144.66
P00907,Fan Merchandise,21.83
P00908,Training Gear,46.4
P00909,Jerseys,81.2
P00910,Fan Merchandise,81.49
P00911,Footwear,179.17
P00912,Fan Merchandise,50.63
P00913,Accessories,75.95
P00914,Fan Merchandise,59.45
P00915,Jerseys,93.04
P00916,Jerseys,67.56
P00917,Training Gear,96.8
P00918,Footwear,87.35
P00919,Footwear,197.22
P00920,Jerseys,89.23
P00921,Accessories,67.29
P00922,Footwear,115.62
P00923,Accessories,84.29
P00924,Jerseys,192.86
P00925,Accessories,51.16
P00926,Training Gear,24.3
P00927,Accessories,76.14
P00928,Accessories,22.92
P00929,Accessories,20.45
P00930,Footwear,159.08
P00931,Fan Merchandise,19.51
P00932,Training Gear,36.29
P00933,Fan Merchandise,44.05
P00934,Training Gear,82.23
P00935,Accessories,101.37
P00936,Fan Merchandise,32.16
P00937,Footwear,112.17
P00938,Training Gear,118.47
P00939,Accessories,92.7
P00940,Jerseys,105.62
P00941,Fan Merchandise,58.07
P00942,Accessories,72.42
P00943,Training Gear,61.06
P00944,Fan Merchandise,20.66
P00945,Training Gear,114.92
P00946,Accessories,36.81
P00947,Accessories,41.83
P00948,Fan Merchandise,53.78
P00949,Footwear,68.95
P00950,Footwear,83.47
P00951,Training Gear,81.34
P00952,Training Gear,142.74
P00953,Training Gear,127.66
P00954,Footwear,97.17
P00955,Jerseys,98.8
P00956,Training Gear,158.2
P00957,Footwear,157.61
P00958,Accessories,78.55
P00959,Jerseys,62.99
P00960,Training Gear,32.91
P00961,Accessories,39.45
P00962,Jerseys,177.09
P00963,Accessories,101.07
P00964,Footwear,74.39
P00965,Fan Merchandise,64.14
P00966,Accessories,97.41
P00967,Accessories,97.89
P00968,Jerseys,121.53
P00969,Jerseys,92.52
P00970,Footwear,212.13
P00971,Training Gear,57.27
P00972,Jerseys,91.64
P00973,Accessories,30.57
P00974,Jerseys,132.22
P00975,Training Gear,33.22
P00976,Fan Merchandise,53.66
P00977,Footwear,209.86
P00978,Accessories,60.5
P00979,Accessories,106.53
P00980,Fan Merchandise,78.12
P00981,Training Gear,130.51
P00982,Fan Merchandise,56.39
P00983,Training Gear,143.06
P00984,Accessories,65.5
P00985,Jerseys,85.04
P00986,Fan Merchandise,79.54
P00987,Fan Merchandise,48.66
P00988,Jerseys,186.62
