CustomerID,CustomerSegment,Team_Affiliation,CustomerLifetimeValue
10116,Online Shopper,Warriors,1128.07
10117,Online Shopper,Tigers,1331.17
10118,Online Shopper,Eagles,2242.07
10119,Casual Fan,Lions,200.17
10120,Casual Fan,Tigers,579.9
10121,Casual Fan,Sharks,647.85
10122,Casual Fan,Lions,1102.05
10123,Loyal Fan,Sharks,1437.52
10124,Casual Fan,Warriors,1426.38
10125,Loyal Fan,Warriors,3992.84
10126,Casual Fan,Lions,1246.47
10127,Casual Fan,Lions,519.6
10128,Loyal Fan,Eagles,2924.37
10129,Loyal Fan,Bulls,1066.07
10130,Casual Fan,Tigers,1319.79
10131,Loyal Fan,Bulls,2451.18
10132,Season Ticket Holder,Sharks,3235.07
10133,Casual Fan,Sharks,558.38
10134,Casual Fan,Sharks,1221.04
10135,Casual Fan,Bulls,1318.32
10136,Loyal Fan,Bulls,2463.08
10137,Season Ticket Holder,Tigers,5362.18
10138,Casual Fan,Sharks,1151.03
10139,Online Shopper,Warriors,2530.71
10140,Loyal Fan,Tigers,3247.51
10141,Casual Fan,Sharks,638.2
10142,Casual Fan,Bulls,998.7
10143,Season Ticket Holder,Warriors,8001.52
10144,Casual Fan,Lions,312.46
10145,Casual Fan,Tigers,643.39
10146,Loyal Fan,Warriors,981.18
10147,Casual Fan,Bulls,672.43
10148,Casual Fan,Bulls,1181.19
10149,Casual Fan,Eagles,375.84
10150,Loyal Fan,Tigers,2534.04
10151,Online Shopper,Sharks,398.78
10152,Online Shopper,Bulls,2723.65
10153,Loyal Fan,Eagles,3424.02
10154,Casual Fan,Sharks,834.17
10155,Loyal Fan,Eagles,3058.52
10156,Online Shopper,Warriors,580.57
10157,Loyal Fan,Lions,3504.67
10158,Online Shopper,Tigers,2231.21
10159,Online Shopper,Lions,623.91
10160,Online Shopper,Tigers,2947.86
10161,Loyal Fan,Lions,872.1
10162,Season Ticket Holder,Warriors,6399.58
10163,Loyal Fan,Eagles,1349.62
10164,Loyal Fan,Lions,3101.62
10165,Casual Fan,Warriors,198.57
10166,Casual Fan,Sharks,213.54
10167,Online Shopper,Lions,1558.99
10168,Online Shopper,Lions,2983.83
10169,Casual Fan,Eagles,487.12
10170,Season Ticket Holder,Sharks,6287.7
10171,Loyal Fan,Lions,2459.52
10172,Casual Fan,Eagles,1278.97
10173,Loyal Fan,Tigers,1723.49
10174,Season Ticket Holder,Tigers,5884.61
10175,Loyal Fan,Warriors,3842.0
10176,Loyal Fan,Warriors,1864.27
10177,Casual Fan,Lions,715.17
10178,Season Ticket Holder,Bulls,8221.69
10179,Online Shopper,Warriors,1197.75
10180,Online Shopper,Sharks,1327.82
10181,Online Shopper,Sharks,1121.12
10182,Online Shopper,Bulls,2485.73
10183,Casual Fan,Eagles,1402.54
10184,Casual Fan,Sharks,983.54
10185,Online Shopper,Sharks,1983.8
10186,Online Shopper,Warriors,1353.01
10187,Casual Fan,Tigers,117.48
10188,Loyal Fan,Tigers,1356.6
10189,Online Shopper,Bulls,698.08
10190,Loyal Fan,Sharks,1170.82
10191,Season Ticket Holder,Sharks,6578.33
10192,Loyal Fan,Tigers,1236.32
10193,Loyal Fan,Bulls,1074.03
10194,Online Shopper,Sharks,1332.97
10195,Loyal Fan,Tigers,1596.87
10196,Loyal Fan,Lions,1266.75
10197,Casual Fan,Bulls,304.58
10198,Online Shopper,Bulls,991.76
10199,Loyal Fan,Warriors,2517.92
10200,Casual Fan,Tigers,1161.33
10201,Online Shopper,Eagles,2602.5
10202,Season Ticket Holder,Warriors,7259.92
10203,Casual Fan,Eagles,979.5
10204,Loyal Fan,Warriors,3704.4
10205,Loyal Fan,Bulls,2463.16
10206,Loyal Fan,Eagles,2826.74
10207,Loyal Fan,Sharks,2117.19
10208,Online Shopper,Eagles,1183.94
10209,Loyal Fan,Warriors,1861.48
10210,Casual Fan,Eagles,307.64
10211,Online Shopper,Bulls,2450.81
10212,Casual Fan,Sharks,177.52
10213,Loyal Fan,Eagles,2958.99
10214,Online Shopper,Warriors,2634.04
10215,Online Shopper,Tigers,1643.06
10216,Online Shopper,Tigers,489.54
10217,Loyal Fan,Warriors,2170.94
10218,Loyal Fan,Lions,1898.33
10219,Season Ticket Holder,Bulls,8898.78
10220,Casual Fan,Lions,1067.77
10221,Casual Fan,Lions,1109.9
10222,Casual Fan,Warriors,822.16
10223,Online Shopper,Lions,2215.42
10224,Season Ticket Holder,Warriors,7058.0
10225,Loyal Fan,Tigers,1012.35
10226,Season Ticket Holder,Tigers,3558.25
10227,Loyal Fan,Sharks,841.5
10228,Casual Fan,Eagles,813.73
10229,Casual Fan,Tigers,1326.12
10230,Loyal Fan,Sharks,2750.57
10231,Loyal Fan,Eagles,2400.66
10232,Casual Fan,Tigers,1396.35
10233,Season Ticket Holder,Warriors,3205.53
10234,Casual Fan,Lions,204.45
10235,Season Ticket Holder,Eagles,8421.14
10236,Online Shopper,Bulls,2737.51
10237,Casual Fan,Warriors,1056.16
10238,Online Shopper,Bulls,964.14
10239,Loyal Fan,Bulls,3903.24
10240,Loyal Fan,Eagles,3249.11
10241,Online Shopper,Bulls,2119.52
10242,Online Shopper,Bulls,901.86
10243,Loyal Fan,Tigers,2441.89
10244,Casual Fan,Lions,1251.61
10245,Casual Fan,Tigers,1304.36
10246,Online Shopper,Eagles,1815.86
10247,Casual Fan,Tigers,831.91
10248,Casual Fan,Warriors,1076.76
10249,Casual Fan,Tigers,839.55
10250,Casual Fan,Tigers,684.75
10251,Online Shopper,Sharks,530.63
10252,Online Shopper,Bulls,640.33
10253,Casual Fan,Bulls,1164.39
10254,Loyal Fan,Bulls,878.93
10255,Loyal Fan,Eagles,967.38
10256,Online Shopper,Eagles,2742.54
10257,Online Shopper,Warriors,2200.79
10258,Loyal Fan,Lions,813.48
10259,Loyal Fan,Tigers,1798.54
10260,Casual Fan,Bulls,1168.65
10261,Loyal Fan,Tigers,2136.32
10262,Online Shopper,Lions,1565.75
10263,Casual Fan,Tigers,742.32
10264,Loyal Fan,Tigers,1446.83
10265,Season Ticket Holder,Sharks,7049.74
10266,Loyal Fan,Eagles,1129.62
10267,Loyal Fan,Warriors,2423.2
10268,Loyal Fan,Eagles,1343.86
10269,Loyal Fan,Eagles,948.9
10270,Loyal Fan,Warriors,1258.38
10271,Loyal Fan,Sharks,3581.87
10272,Loyal Fan,Bulls,1363.67
10273,Loyal Fan,Warriors,1690.78
10274,Casual Fan,Lions,293.33
10275,Online Shopper,Sharks,2285.97
10276,Casual Fan,Sharks,723.63
10277,Casual Fan,Bulls,1421.09
10278,Casual Fan,Eagles,1030.05
10279,Online Shopper,Warriors,1734.75
10280,Online Shopper,Warriors,2072.9
10281,Loyal Fan,Sharks,929.36
10282,Loyal Fan,Warriors,3842.11
10283,Loyal Fan,Warriors,3860.57
10284,Loyal Fan,Warriors,1683.65
10285,Casual Fan,Bulls,979.61
10286,Casual Fan,Warriors,382.68
10287,Loyal Fan,Eagles,2551.91
10288,Casual Fan,Bulls,1179.1
10289,Casual Fan,Eagles,1415.75
10290,Loyal Fan,Lions,1885.49
10291,Online Shopper,Lions,2172.46
10292,Loyal Fan,Lions,3092.57
10293,Season Ticket Holder,Tigers,3548.04
10294,Loyal Fan,Warriors,2812.9
10295,Online Shopper,Tigers,2069.64
10296,Season Ticket Holder,Warriors,7348.53
10297,Season Ticket Holder,Sharks,8999.63
10298,Online Shopper,Eagles,408.63
10299,Online Shopper,Tigers,846.22
10300,Casual Fan,Sharks,303.11
10301,Online Shopper,Lions,716.97
10302,Loyal Fan,Lions,2253.6
10303,Casual Fan,Warriors,1329.95
10304,Casual Fan,Lions,728.21
10305,Online Shopper,Eagles,2104.9
10306,Casual Fan,Lions,627.1
10307,Casual Fan,Lions,547.53
10308,Casual Fan,Tigers,1267.93
10309,Loyal Fan,Warriors,2897.75
10310,Loyal Fan,Lions,1922.86
10311,Casual Fan,Warriors,1379.82
10312,Casual Fan,Tigers,797.92
10313,Loyal Fan,Warriors,1402.48
10314,Casual Fan,Tigers,776.51
10315,Casual Fan,Lions,1044.58
10316,Casual Fan,Warriors,613.96
10317,Casual Fan,Eagles,1281.3
10318,Online Shopper,Warriors,1739.49
10319,Loyal Fan,Warriors,2296.85
10320,Season Ticket Holder,Bulls,8010.98
10321,Season Ticket Holder,Eagles,5240.42
10322,Casual Fan,Bulls,680.17
10323,Casual Fan,Lions,245.2
10324,Casual Fan,Lions,607.49
10325,Online Shopper,Warriors,1372.03
10326,Online Shopper,Warriors,787.68
10327,Online Shopper,Warriors,1887.12
10328,Casual Fan,Warriors,301.38
10329,Casual Fan,Tigers,413.17
10330,Loyal Fan,Bulls,2595.49
10331,Online Shopper,Bulls,1026.26
10332,Loyal Fan,Eagles,2846.94
10333,Online Shopper,Eagles,2164.39
10334,Online Shopper,Eagles,1113.48
10335,Loyal Fan,Lions,1079.64
10336,Casual Fan,Tigers,785.23
10337,Loyal Fan,Tigers,1097.27
10338,Online Shopper,Warriors,1691.14
10339,Loyal Fan,Sharks,3123.9
10340,Season Ticket Holder,Bulls,6342.31
10341,Loyal Fan,Tigers,2234.46
10342,Season Ticket Holder,Tigers,8621.01
10343,Online Shopper,Eagles,574.72
10344,Casual Fan,Eagles,1332.0
10345,Online Shopper,Warriors,2460.35
10346,Online Shopper,Lions,1433.29
10347,Season Ticket Holder,Warriors,3070.07
10348,Loyal Fan,Lions,1298.77
10349,Casual Fan,Warriors,1390.53
10350,Loyal Fan,Sharks,1547.85
10351,Casual Fan,Tigers,1323.76
10352,Loyal Fan,Tigers,2410.54
10353,Casual Fan,Eagles,746.43
10354,Casual Fan,Lions,967.32
10355,Casual Fan,Warriors,401.05
10356,Casual Fan,Lions,699.72
10357,Online Shopper,Eagles,2833.91
10358,Online Shopper,Lions,943.29
10359,Casual Fan,Warriors,1390.22
10360,Casual Fan,Bulls,1491.89
10361,Season Ticket Holder,Tigers,2363.35
10362,Loyal Fan,Warriors,2500.41
10363,Loyal Fan,Tigers,1349.82
10364,Loyal Fan,Eagles,2789.49
10365,Online Shopper,Tigers,2971.77
10366,Casual Fan,Lions,1355.63
10367,Online Shopper,Warriors,2797.09
10368,Online Shopper,Sharks,876.04
10369,Casual Fan,Lions,859.25
10370,Online Shopper,Bulls,934.04
10371,Online Shopper,Sharks,2728.45
10372,Loyal Fan,Tigers,1411.69
10373,Casual Fan,Tigers,315.54
10374,Casual Fan,Bulls,117.03
10375,Loyal Fan,Eagles,1382.23
10376,Loyal Fan,Bulls,1407.24
10377,Season Ticket Holder,Bulls,2542.43
10378,Casual Fan,Lions,1314.84
10379,Casual Fan,Bulls,1192.0
10380,Online Shopper,Eagles,987.1
10381,Casual Fan,Warriors,1196.56
10382,Season Ticket Holder,Eagles,4955.15
10383,Online Shopper,Tigers,2393.9
10384,Casual Fan,Tigers,552.21
10385,Casual Fan,Sharks,890.52
10386,Season Ticket Holder,Sharks,4671.27
10387,Online Shopper,Lions,806.72
10388,Season Ticket Holder,Tigers,6099.43
10389,Loyal Fan,Tigers,3202.66
10390,Online Shopper,Tigers,2333.39
10391,Casual Fan,Sharks,598.81
10392,Loyal Fan,Lions,2459.88
10393,Casual Fan,Eagles,1169.29
10394,Online Shopper,Lions,447.14
10395,Loyal Fan,Eagles,1030.04
10396,Casual Fan,Warriors,626.71
10397,Online Shopper,Bulls,903.37
10398,Loyal Fan,Bulls,1998.87
10399,Casual Fan,Tigers,231.25
10400,Casual Fan,Warriors,928.81
10401,Casual Fan,Warriors,1040.44
10402,Season Ticket Holder,Sharks,7542.88
10403,Online Shopper,Sharks,2056.41
10404,Loyal Fan,Tigers,2068.42
10405,Season Ticket Holder,Tigers,8544.5
10406,Online Shopper,Warriors,2261.1
10407,Loyal Fan,Eagles,2488.58
10408,Online Shopper,Lions,858.5
10409,Loyal Fan,Tigers,2876.72
10410,Season Ticket Holder,Warriors,6142.04
10411,Online Shopper,Tigers,2144.99
10412,Online Shopper,Bulls,2409.04
10413,Loyal Fan,Eagles,3728.16
10414,Online Shopper,Bulls,2862.45
10415,Loyal Fan,Eagles,2816.59
10416,Loyal Fan,Bulls,3891.06
10417,Loyal Fan,Tigers,3716.55
10418,Online Shopper,Lions,307.06
10419,Loyal Fan,Warriors,2840.38
10420,Season Ticket Holder,Tigers,3249.29
10421,Online Shopper,Eagles,1097.02
10422,Loyal Fan,Bulls,1752.0
10423,Loyal Fan,Sharks,2346.01
10424,Loyal Fan,Tigers,834.77
10425,Casual Fan,Eagles,430.11
10426,Online Shopper,Eagles,378.63
10427,Loyal Fan,Eagles,2881.79
10428,Online Shopper,Lions,2701.08
10429,Loyal Fan,Warriors,3992.92
10430,Online Shopper,Warriors,1511.1
10431,Season Ticket Holder,Sharks,3820.99
10432,Online Shopper,Sharks,2603.38
10433,Online Shopper,Eagles,605.53
10434,Online Shopper,Tigers,2930.45
10435,Loyal Fan,Sharks,3087.48
10436,Loyal Fan,Lions,2412.59
10437,Loyal Fan,Sharks,1109.28
10438,Casual Fan,Bulls,125.47
10439,Online Shopper,Eagles,1770.24
10440,Casual Fan,Eagles,679.39
10441,Online Shopper,Tigers,2575.19
10442,Loyal Fan,Warriors,2855.38
10443,Online Shopper,Tigers,1466.12
10444,Loyal Fan,Eagles,1523.22
10445,Loyal Fan,Bulls,2337.35
10446,Online Shopper,Warriors,740.08
10447,Season Ticket Holder,Sharks,6669.09
10448,Casual Fan,Tigers,948.02
10449,Loyal Fan,Warriors,3392.23
10450,Casual Fan,Warriors,729.34
10451,Loyal Fan,Bulls,1691.68
10452,Online Shopper,Sharks,2558.27
10453,Online Shopper,Eagles,2165.69
10454,Loyal Fan,Eagles,3061.47
10455,Loyal Fan,Sharks,2489.87
10456,Loyal Fan,Sharks,3603.13
10457,Season Ticket Holder,Sharks,3594.48
10458,Casual Fan,Tigers,662.37
10459,Online Shopper,Bulls,2449.83
10460,Casual Fan,Lions,286.15
10461,Casual Fan,Sharks,1231.35
10462,Loyal Fan,Warriors,1928.3
10463,Season Ticket Holder,Lions,2878.53
10464,Casual Fan,Warriors,210.81
10465,Casual Fan,Lions,1280.24
10466,Online Shopper,Tigers,2402.26
10467,Casual Fan,Warriors,503.26
10468,Season Ticket Holder,Lions,2814.54
10469,Loyal Fan,Tigers,1591.15
10470,Casual Fan,Tigers,398.18
10471,Casual Fan,Sharks,1126.28
10472,Casual Fan,Sharks,401.79
10473,Loyal Fan,Tigers,1491.52
10474,Loyal Fan,Tigers,903.26
10475,Loyal Fan,Warriors,2709.95
10476,Casual Fan,Lions,1064.57
10477,Casual Fan,Lions,1014.89
10478,Casual Fan,Eagles,896.04
10479,Casual Fan,Eagles,1452.5
10480,Casual Fan,Bulls,761.83
10481,Casual Fan,Tigers,1304.19
10482,Loyal Fan,Sharks,2867.23
10483,Casual Fan,Sharks,217.83
10484,Casual Fan,Tigers,1234.12
10485,Loyal Fan,Warriors,2670.04
10486,Casual Fan,Tigers,1014.94
10487,Casual Fan,Warriors,352.32
10488,Loyal Fan,Bulls,2199.97
10489,Casual Fan,Sharks,1332.82
10490,Casual Fan,Tigers,401.6
10491,Online Shopper,Bulls,300.34
10492,Casual Fan,Warriors,460.51
10493,Online Shopper,Bulls,1616.36
10494,Casual Fan,Sharks,1249.79
10495,Online Shopper,Eagles,2036.89
10496,Casual Fan,Sharks,1386.69
10497,Casual Fan,Bulls,737.79
10498,Casual Fan,Bulls,647.14
10499,Casual Fan,Sharks,423.99
10500,Casual Fan,Sharks,405.29
10501,Online Shopper,Lions,2287.5
10502,Online Shopper,Bulls,516.97
10503,Season Ticket Holder,Sharks,3699.0
10504,Casual Fan,Sharks,1340.25
10505,Casual Fan,Eagles,907.69
10506,Online Shopper,Eagles,425.79
10507,Casual Fan,Lions,1085.96
10508,Online Shopper,Tigers,1668.04
10509,Casual Fan,Sharks,1296.33
10510,Loyal Fan,Eagles,2983.79
10511,Loyal Fan,Eagles,814.23
10512,Online Shopper,Warriors,855.5
10513,Loyal Fan,Lions,1625.48
10514,Loyal Fan,Eagles,3047.14
10515,Casual Fan,Lions,813.04
10516,Loyal Fan,Warriors,3191.83
10517,Casual Fan,Lions,818.01
10518,Online Shopper,Eagles,1183.94
10519,Loyal Fan,Sharks,1131.71
10520,Online Shopper,Lions,847.08
10521,Online Shopper,Lions,1382.11
10522,Casual Fan,Bulls,872.04
10523,Loyal Fan,Sharks,3803.64
10524,Casual Fan,Sharks,435.61
10525,Loyal Fan,Eagles,2931.47
10526,Casual Fan,Eagles,313.56
10527,Season Ticket Holder,Bulls,6996.27
10528,Season Ticket Holder,Tigers,2079.39
10529,Online Shopper,Tigers,2070.98
10530,Casual Fan,Lions,328.5
10531,Online Shopper,Lions,786.88
10532,Online Shopper,Tigers,1809.05
10533,Casual Fan,Lions,625.58
10534,Casual Fan,Tigers,759.83
10535,Loyal Fan,Tigers,1788.44
10536,Loyal Fan,Warriors,3851.09
10537,Casual Fan,Lions,506.92
10538,Loyal Fan,Eagles,2534.55
10539,Loyal Fan,Eagles,3533.94
10540,Online Shopper,Bulls,2093.29
10541,Season Ticket Holder,Tigers,4259.44
10542,Casual Fan,Bulls,873.41
10543,Online Shopper,Bulls,524.08
10544,Season Ticket Holder,Sharks,5819.8
10545,Loyal Fan,Warriors,2180.45
10546,Casual Fan,Tigers,1161.11
10547,Casual Fan,Eagles,1287.06
10548,Loyal Fan,Eagles,1438.77
10549,Online Shopper,Tigers,520.15
10550,Casual Fan,Warriors,646.78
10551,Casual Fan,Lions,847.81
10552,Loyal Fan,Bulls,2005.77
10553,Loyal Fan,Tigers,2811.4
10554,Season Ticket Holder,Bulls,5539.56
10555,Loyal Fan,Tigers,3797.2
10556,Loyal Fan,Eagles,2110.05
10557,Loyal Fan,Eagles,1063.98
10558,Casual Fan,Tigers,522.71
10559,Casual Fan,Eagles,948.25
10560,Casual Fan,Warriors,458.44
10561,Loyal Fan,Lions,1660.76
10562,Loyal Fan,Bulls,1886.63
10563,Online Shopper,Sharks,2314.58
10564,Casual Fan,Lions,1416.19
10565,Casual Fan,Bulls,590.53
10566,Online Shopper,Bulls,827.82
10567,Online Shopper,Sharks,1435.72
10568,Loyal Fan,Lions,1925.89
10569,Casual Fan,Lions,1486.03
10570,Casual Fan,Sharks,749.42
10571,Casual Fan,Lions,1051.0
10572,Online Shopper,Warriors,2767.23
10573,Casual Fan,Sharks,980.69
10574,Online Shopper,Bulls,973.32
10575,Online Shopper,Bulls,1940.01
10576,Casual Fan,Tigers,662.63
10577,Season Ticket Holder,Sharks,4956.45
10578,Casual Fan,Bulls,1471.05
10579,Online Shopper,Eagles,1052.2
10580,Casual Fan,Warriors,756.51
10581,Casual Fan,Tigers,323.81
10582,Casual Fan,Eagles,349.96
10583,Loyal Fan,Tigers,2731.15
10584,Casual Fan,Tigers,1151.42
10585,Season Ticket Holder,Sharks,6455.22
10586,Casual Fan,Bulls,561.0
10587,Loyal Fan,Eagles,990.78
10588,Casual Fan,Sharks,758.37
10589,Loyal Fan,Bulls,2413.66
10590,Loyal Fan,Eagles,3266.09
10591,Season Ticket Holder,Eagles,6482.03
10592,Casual Fan,Bulls,1319.76
10593,Casual Fan,Tigers,1196.18
10594,Casual Fan,Eagles,612.23
10595,Loyal Fan,Sharks,2823.11
10596,Loyal Fan,Warriors,3191.32
10597,Online Shopper,Tigers,2883.58
10598,Casual Fan,Sharks,691.29
10599,Season Ticket Holder,Sharks,6537.97
10600,Casual Fan,Bulls,649.73
10601,Casual Fan,Tigers,1132.96
10602,Online Shopper,Eagles,2762.38
10603,Season Ticket Holder,Sharks,8434.58
10604,Online Shopper,Bulls,724.14
10605,Season Ticket Holder,Tigers,3428.68
10606,Online Shopper,Warriors,2338.31
10607,Online Shopper,Lions,2003.73
10608,Loyal Fan,Bulls,3696.34
10609,Online Shopper,Eagles,1147.26
10610,Casual Fan,Eagles,1287.23
10611,Casual Fan,Eagles,1057.29
10612,Online Shopper,Sharks,827.73
10613,Season Ticket Holder,Bulls,2885.46
10614,Season Ticket Holder,Eagles,6919.07
10615,Loyal Fan,Bulls,1307.08
10616,Online Shopper,Eagles,2444.69
10617,Online Shopper,Lions,1804.16
10618,Casual Fan,Bulls,767.61
10619,Loyal Fan,Sharks,1681.69
10620,Loyal Fan,Tigers,3948.31
10621,Online Shopper,Eagles,2249.85
10622,Casual Fan,Tigers,1189.29
10623,Season Ticket Holder,Warriors,7380.98
10624,Casual Fan,Warriors,917.62
10625,Season Ticket Holder,Warriors,8577.89
10626,Casual Fan,Sharks,917.35
10627,Online Shopper,Warriors,1704.12
10628,Loyal Fan,Warriors,1675.87
10629,Casual Fan,Tigers,494.43
10630,Online Shopper,Warriors,2289.59
10631,Season Ticket Holder,Lions,4343.37
10632,Online Shopper,Lions,2267.52
10633,Loyal Fan,Bulls,3848.66
10634,Casual Fan,Tigers,715.03
10635,Loyal Fan,Sharks,1111.44
10636,Loyal Fan,Tigers,2932.95
10637,Online Shopper,Eagles,325.71
10638,Online Shopper,Warriors,2424.91
10639,Online Shopper,Eagles,1719.26
10640,Online Shopper,Bulls,1622.28
10641,Online Shopper,Tigers,1837.49
10642,Online Shopper,Sharks,1694.3
10643,Loyal Fan,Sharks,1836.09
10644,Loyal Fan,Lions,1700.83
10645,Casual Fan,Tigers,681.42
10646,Online Shopper,Sharks,2716.26
10647,Loyal Fan,Eagles,1233.19
10648,Casual Fan,Tigers,554.67
10649,Online Shopper,Bulls,819.21
10650,Loyal Fan,Tigers,2166.84
10651,Casual Fan,Eagles,286.9
10652,Online Shopper,Warriors,2354.15
10653,Online Shopper,Tigers,579.36
10654,Loyal Fan,Eagles,2928.84
10655,Online Shopper,Sharks,1022.82
10656,Casual Fan,Lions,761.07
10657,Online Shopper,Lions,839.97
10658,Loyal Fan,Eagles,3136.72
10659,Casual Fan,Eagles,1427.59
10660,Casual Fan,Bulls,410.44
10661,Loyal Fan,Warriors,3850.09
10662,Online Shopper,Warriors,1178.24
10663,Loyal Fan,Sharks,2585.11
10664,Loyal Fan,Lions,3045.09
10665,Casual Fan,Tigers,378.98
10666,Online Shopper,Sharks,1500.86
10667,Online Shopper,Eagles,483.13
10668,Season Ticket Holder,Lions,6879.38
10669,Loyal Fan,Warriors,2133.17
10670,Casual Fan,Warriors,1348.3
10671,Loyal Fan,Warriors,1676.77
10672,Casual Fan,Eagles,1393.04
10673,Season Ticket Holder,Warriors,2987.28
10674,Online Shopper,Eagles,1938.81
10675,Casual Fan,Bulls,530.93
10676,Casual Fan,Sharks,354.49
10677,Season Ticket Holder,Sharks,2657.56
10678,Casual Fan,Bulls,1017.9
10679,Loyal Fan,Bulls,1546.14
10680,Casual Fan,Eagles,901.94
10681,Loyal Fan,Bulls,3934.14
10682,Loyal Fan,Sharks,1811.08
10683,Loyal Fan,Warriors,911.82
10684,Casual Fan,Lions,299.95
10685,Casual Fan,Bulls,267.05
10686,Casual Fan,Eagles,748.6
10687,Casual Fan,Tigers,1142.51
10688,Season Ticket Holder,Bulls,4075.11
10689,Online Shopper,Lions,693.78
10690,Casual Fan,Eagles,997.07
10691,Loyal Fan,Warriors,1763.78
10692,Online Shopper,Lions,1852.96
