TransactionID,Region,CustomerID,CustomerSegment,Team_Affiliation,ProductID,Category,Quantity,UnitPrice,Revenue,InventoryUnits,UnitsSold,SellThroughRatePct,CustomerLifetimeValue
38,North,2431,Online Shopper,Tigers,P01180,Jerseys,3,145.58,436.74,102,3,2.94,3894.47
39,North,2508,Season Ticket Holder,Warriors,P01786,Accessories,4,17.86,71.44,266,4,1.5,1009.3
40,East,5160,Online Shopper,Lions,P01602,Jerseys,3,138.51,415.53,387,3,0.78,1546.08
41,East,7278,Season Ticket Holder,Sharks,P03772,Fan Merchandise,1,68.69,68.69,265,1,0.38,735.13
42,East,9253,Loyal Fan,Lions,P03307,Jerseys,5,13.39,66.95,137,3,2.19,1985.87
43,South,9187,Loyal Fan,Warriors,P01763,Jerseys,5,58.74,293.7,400,5,1.25,4660.72
44,West,5635,Casual Fan,Bulls,P00194,Accessories,1,52.57,52.57,408,1,0.25,386.54
45,West,9704,Casual Fan,Bulls,P02113,Training Gear,2,44.85,89.7,187,2,1.07,3711.62
46,West,9902,Loyal Fan,Warriors,P02077,Accessories,2,126.02,252.04,309,2,0.65,4245.39
47,West,1567,Online Shopper,Eagles,P01746,Jerseys,2,73.33,146.66,111,2,1.8,2669.03
48,East,7888,Loyal Fan,Bulls,P01243,Jerseys,2,53.14,106.28,103,2,1.94,3621.51
49,South,6736,Season Ticket Holder,Sharks,P03446,Training Gear,4,53.42,213.68,267,4,1.5,4588.49
50,South,4508,Season Ticket Holder,Warriors,P00870,Fan Merchandise,4,148.9,595.6,118,1,0.85,3185.82
51,East,4219,Season Ticket Holder,Bulls,P03337,Training Gear,5,96.63,483.15,143,4,2.8,4603
52,South,6231,Loyal Fan,Bulls,P04092,Footwear,5,15.82,79.1,116,5,4.31,1368.59
53,East,8262,Casual Fan,Tigers,P02938,Fan Merchandise,4,134.31,537.24,425,4,0.94,188.35
54,West,3023,Season Ticket Holder,Lions,P04560,Footwear,4,111.74,446.96,497,4,0.8,951.7
55,East,6398,Season Ticket Holder,Bulls,P02761,Footwear,5,39.64,198.2,424,5,1.18,4695.88
56,West,4580,Loyal Fan,Bulls,P01908,Footwear,1,25.9,25.9,249,1,0.4,2469.31
57,West,1594,Season Ticket Holder,Tigers,P00368,Footwear,4,62.8,251.2,484,4,0.83,2386.49
58,North,4256,Loyal Fan,Warriors,P01301,Training Gear,1,39.11,39.11,453,1,0.22,4255.61
59,East,1886,Casual Fan,Warriors,P01235,Footwear,3,108.26,324.78,337,3,0.89,4093.43
60,North,8983,Season Ticket Holder,Tigers,P04769,Footwear,1,34.4,34.4,450,1,0.22,2325.22
61,East,9712,Season Ticket Holder,Tigers,P03263,Jerseys,1,83.32,83.32,87,1,1.15,3735.51
62,East,3692,Season Ticket Holder,Eagles,P03066,Jerseys,4,99.19,396.76,431,4,0.93,2594.2
63,North,1118,Loyal Fan,Lions,P00161,Accessories,3,103.67,311.01,152,3,1.97,1719.79
64,North,7413,Loyal Fan,Tigers,P03288,Jerseys,2,117.2,234.4,265,2,0.75,2187.46
65,East,6491,Online Shopper,Lions,P03214,Jerseys,1,80.41,80.41,362,1,0.28,3488.25
66,South,2702,Casual Fan,Bulls,P01836,Accessories,3,39.55,118.65,202,3,1.49,1387.76
67,West,6936,Online Shopper,Sharks,P04711,Accessories,3,57.53,172.59,291,3,1.03,898.65
68,North,1265,Online Shopper,Warriors,P00342,Training Gear,4,63.16,252.64,359,4,1.11,1300.08
69,West,3207,Online Shopper,Tigers,P00951,Footwear,3,106.24,318.72,217,3,1.38,4458.03
70,South,6823,Loyal Fan,Sharks,P01664,Fan Merchandise,2,97.62,195.24,380,2,0.53,3100.86
71,South,3373,Season Ticket Holder,Warriors,P01014,Fan Merchandise,4,79.3,317.2,267,4,1.5,1651.15
72,South,9602,Season Ticket Holder,Eagles,P03089,Training Gear,1,76.27,76.27,174,1,0.57,3090.73
73,North,1979,Loyal Fan,Warriors,P00264,Accessories,4,18.42,73.68,442,4,0.9,4244.69
74,South,3370,Online Shopper,Tigers,P04630,Footwear,1,106.55,106.55,437,1,0.23,2072.27
75,North,3528,Casual Fan,Sharks,P03176,Fan Merchandise,4,122.58,490.32,201,4,1.99,1008.2
76,South,5871,Loyal Fan,Sharks,P01559,Jerseys,3,134.4,403.2,317,3,0.95,1338.41
77,West,4333,Online Shopper,Sharks,P00940,Jerseys,2,12.86,25.72,280,2,0.71,3732.08
78,West,1184,Loyal Fan,Warriors,P02656,Footwear,4,132.47,529.88,346,4,1.16,1248.78
79,East,8404,Season Ticket Holder,Lions,P03575,Jerseys,5,132.64,663.2,410,5,1.22,1587.29
80,West,5151,Season Ticket Holder,Lions,P01960,Fan Merchandise,3,102.84,308.52,162,3,1.85,4597.66
81,East,5885,Season Ticket Holder,Warriors,P01723,Accessories,4,49,196,413,4,0.97,3086.34
82,West,7861,Online Shopper,Tigers,P00383,Accessories,3,134.95,404.85,440,3,0.68,638.69
83,North,3922,Loyal Fan,Warriors,P04187,Accessories,5,58.65,293.25,481,5,1.04,3978.36
84,West,7961,Online Shopper,Lions,P04729,Footwear,3,91.35,274.05,328,3,0.91,1211.07
85,East,6923,Loyal Fan,Warriors,P04025,Jerseys,3,71.73,215.19,129,3,2.33,2446.99
86,East,2011,Casual Fan,Sharks,P00579,Accessories,4,134.03,536.12,437,4,0.92,158.28
87,South,3084,Season Ticket Holder,Tigers,P02133,Training Gear,3,46.13,138.39,419,1,0.24,4790.05
88,North,9295,Casual Fan,Tigers,P03087,Footwear,4,56.36,225.44,365,4,1.1,4162.41
89,West,3493,Season Ticket Holder,Eagles,P01136,Training Gear,2,67.11,134.22,115,2,1.74,4924.38
90,South,4206,Casual Fan,Warriors,P00355,Jerseys,5,129.67,648.35,274,5,1.82,3225.6
91,West,3419,Online Shopper,Bulls,P03195,Jerseys,1,54.55,54.55,231,1,0.43,3851.16
92,West,2104,Season Ticket Holder,Bulls,P03864,Jerseys,5,50.41,252.05,350,4,1.14,687.26
93,South,3901,Online Shopper,Bulls,P04495,Footwear,3,121.45,364.35,105,3,2.86,1854.54
94,South,3698,Online Shopper,Sharks,P03450,Training Gear,4,64.27,257.08,433,4,0.92,1766.67
95,South,8996,Loyal Fan,Bulls,P00971,Training Gear,1,103.09,103.09,192,1,0.52,619.04
96,South,1131,Season Ticket Holder,Warriors,P03948,Footwear,1,132.58,132.58,429,1,0.23,1763.63
97,South,8613,Casual Fan,Eagles,P01507,Accessories,3,41.58,124.74,479,3,0.63,3267.03
98,West,4646,Casual Fan,Eagles,P01773,Training Gear,1,75.01,75.01,196,1,0.51,1067.69
99,South,8133,Season Ticket Holder,Warriors,P00957,Jerseys,4,78.17,312.68,108,4,3.7,1485.09
100,North,6652,Loyal Fan,Bulls,P00702,Jerseys,3,89.56,268.68,397,3,0.76,1697.35
101,East,1337,Season Ticket Holder,Warriors,P00295,Fan Merchandise,5,138.59,692.95,332,5,1.51,4722.55
102,South,4096,Online Shopper,Warriors,P04828,Accessories,3,147.28,441.84,488,3,0.61,3933.76
103,South,7192,Loyal Fan,Lions,P01212,Fan Merchandise,3,122.16,366.48,232,3,1.29,746.59
104,West,1028,Online Shopper,Eagles,P01640,Footwear,1,14.19,14.19,263,1,0.38,4574.92
105,South,8208,Season Ticket Holder,Tigers,P03547,Training Gear,2,26.39,52.78,278,2,0.72,3952.64
106,South,3477,Loyal Fan,Bulls,P01789,Jerseys,1,26.47,26.47,491,1,0.2,2139.46
107,South,6222,Season Ticket Holder,Bulls,P01036,Jerseys,2,84.43,168.86,100,2,2,1318.13
108,West,8008,Season Ticket Holder,Lions,P01588,Footwear,3,16.04,48.12,462,3,0.65,1718.9
109,South,7074,Loyal Fan,Sharks,P03791,Footwear,3,81.64,244.92,361,3,0.83,2501.64
110,East,4368,Loyal Fan,Tigers,P00143,Jerseys,5,115.26,576.3,471,5,1.06,3382.49
111,West,1565,Season Ticket Holder,Tigers,P01506,Jerseys,1,52.27,52.27,240,1,0.42,4406.82
112,East,3031,Casual Fan,Tigers,P01190,Jerseys,5,75.72,378.6,404,4,0.99,486.56
113,West,6241,Loyal Fan,Eagles,P02994,Training Gear,4,23.52,94.08,367,4,1.09,1958.47
114,South,2883,Casual Fan,Sharks,P01962,Footwear,3,19.64,58.92,494,3,0.61,2965.9
115,East,9910,Casual Fan,Lions,P04544,Jerseys,5,84.73,423.65,100,5,5,3309.02
116,West,1967,Casual Fan,Sharks,P00225,Jerseys,4,11.7,46.8,391,4,1.02,1894.21
117,North,5215,Casual Fan,Bulls,P02370,Jerseys,2,108.48,216.96,472,2,0.42,1643.82
118,South,6606,Online Shopper,Lions,P02916,Accessories,1,29.87,29.87,305,1,0.33,2382.68
119,West,2576,Season Ticket Holder,Eagles,P04996,Jerseys,4,135.2,540.8,286,4,1.4,1832.67
120,North,2676,Loyal Fan,Bulls,P01070,Training Gear,1,129.04,129.04,278,1,0.36,3231.43
121,West,7961,Season Ticket Holder,Sharks,P03549,Jerseys,3,41.72,125.16,258,2,0.78,808.67
122,North,2191,Season Ticket Holder,Tigers,P03138,Jerseys,2,42.91,85.82,136,2,1.47,1182.71
123,South,1977,Season Ticket Holder,Sharks,P04375,Fan Merchandise,3,15.14,45.42,133,3,2.26,437.01
124,East,2492,Season Ticket Holder,Bulls,P01655,Training Gear,4,147.7,590.8,359,4,1.11,1295.62
125,North,1892,Season Ticket Holder,Eagles,P02419,Jerseys,2,17.74,35.48,85,2,2.35,3576.39
126,West,9933,Loyal Fan,Eagles,P04574,Training Gear,4,77.15,308.6,452,1,0.22,358.08
127,South,4739,Season Ticket Holder,Eagles,P02112,Footwear,1,128.89,128.89,328,1,0.3,2947.18
128,North,2652,Season Ticket Holder,Lions,P00699,Training Gear,3,32.43,97.29,124,3,2.42,2127.46
129,West,2749,Season Ticket Holder,Sharks,P00154,Accessories,1,117.95,117.95,110,1,0.91,3997.08
130,West,8583,Online Shopper,Tigers,P03070,Accessories,2,33.63,67.26,50,2,4,4187.54
131,West,8739,Casual Fan,Tigers,P04332,Fan Merchandise,5,52.65,263.25,180,5,2.78,4723.07
132,North,5866,Online Shopper,Warriors,P04687,Jerseys,1,45.79,45.79,225,1,0.44,2250.37
133,North,5042,Season Ticket Holder,Eagles,P03323,Accessories,2,16.59,33.18,132,2,1.52,4714.54
134,North,9780,Online Shopper,Bulls,P00395,Footwear,2,27.21,54.42,120,1,0.83,681.75
135,East,8321,Loyal Fan,Tigers,P02607,Jerseys,4,104.55,418.2,224,4,1.79,577.77
136,North,6216,Loyal Fan,Eagles,P03165,Jerseys,1,22.05,22.05,406,1,0.25,1458.96
137,North,8892,Loyal Fan,Tigers,P00205,Jerseys,3,146.58,439.74,322,3,0.93,4190.91
138,North,5962,Casual Fan,Sharks,P00425,Accessories,1,46.53,46.53,285,1,0.35,442.3
139,East,8227,Loyal Fan,Warriors,P00477,Accessories,4,25.35,101.4,315,4,1.27,1632.36
140,North,2965,Casual Fan,Eagles,P04627,Accessories,2,62.13,124.26,495,2,0.4,4610.58
141,West,8714,Loyal Fan,Lions,P04905,Jerseys,3,48.65,145.95,341,3,0.88,2845.88
142,North,4157,Online Shopper,Lions,P00632,Footwear,5,20.98,104.9,471,5,1.06,284.87
143,West,3401,Online Shopper,Tigers,P02944,Fan Merchandise,3,101.93,305.79,278,3,1.08,1492.31
144,West,3721,Online Shopper,Sharks,P00033,Footwear,1,118.88,118.88,346,1,0.29,3270.78
145,West,8920,Online Shopper,Bulls,P00106,Accessories,3,10.3,30.9,348,3,0.86,194.44
146,East,9782,Casual Fan,Eagles,P00121,Training Gear,1,90.06,90.06,248,1,0.4,2492.28
147,East,4209,Loyal Fan,Warriors,P01836,Training Gear,3,100.38,301.14,250,3,1.2,4972.16
148,East,4175,Season Ticket Holder,Sharks,P01892,Footwear,1,147.67,147.67,495,1,0.2,1734.66
149,North,9419,Online Shopper,Tigers,P03321,Fan Merchandise,2,102.44,204.88,270,2,0.74,1225.35
150,West,6550,Loyal Fan,Sharks,P00228,Footwear,2,51.83,103.66,490,2,0.41,504.75
151,East,8818,Loyal Fan,Warriors,P04819,Fan Merchandise,1,103.73,103.73,199,1,0.5,228.07
152,East,5035,Loyal Fan,Sharks,P03477,Jerseys,1,48.76,48.76,214,1,0.47,4073.52
153,North,7620,Season Ticket Holder,Eagles,P04819,Jerseys,5,29.54,147.7,170,5,2.94,1450.05
154,East,6171,Online Shopper,Tigers,P03085,Jerseys,1,113.8,113.8,335,1,0.3,251.14
155,North,8017,Casual Fan,Warriors,P03157,Training Gear,4,77.74,310.96,338,4,1.18,2915.61
156,South,7489,Casual Fan,Tigers,P04397,Footwear,1,143.26,143.26,160,1,0.62,1144.74
157,East,4742,Season Ticket Holder,Bulls,P02951,Jerseys,2,18.71,37.42,418,2,0.48,600.32
158,South,8841,Season Ticket Holder,Eagles,P01783,Jerseys,3,77.12,231.36,71,3,4.23,2066.22
159,North,4146,Casual Fan,Warriors,P00264,Fan Merchandise,2,45.13,90.26,219,2,0.91,611.61
160,West,6440,Casual Fan,Bulls,P02185,Training Gear,4,80.7,322.8,193,4,2.07,576.64
161,East,4657,Online Shopper,Bulls,P02298,Accessories,3,15.96,47.88,489,3,0.61,2343.53
162,North,2189,Casual Fan,Bulls,P00480,Accessories,2,15.66,31.32,116,2,1.72,719.45
163,West,2921,Casual Fan,Warriors,P02940,Footwear,1,85.06,85.06,479,1,0.21,2716.94
164,West,6707,Casual Fan,Tigers,P01513,Footwear,1,59.45,59.45,322,1,0.31,3543.67
165,South,7944,Season Ticket Holder,Sharks,P00294,Fan Merchandise,3,13.21,39.63,297,3,1.01,1272.99
166,North,1486,Casual Fan,Sharks,P00607,Jerseys,5,95.22,476.1,124,5,4.03,3784.86
167,West,7148,Casual Fan,Bulls,P04085,Footwear,4,72.15,288.6,322,4,1.24,1178.18
168,East,6199,Online Shopper,Lions,P00094,Footwear,2,146.78,293.56,274,2,0.73,4336.25
169,East,5661,Loyal Fan,Lions,P00143,Footwear,2,126.55,253.1,420,2,0.48,443.11
170,South,2058,Season Ticket Holder,Warriors,P03984,Footwear,4,112.22,448.88,157,4,2.55,4431.41
171,West,4138,Season Ticket Holder,Tigers,P01844,Footwear,2,77.09,154.18,399,2,0.5,1527.26
172,North,8699,Online Shopper,Warriors,P03930,Jerseys,3,77.88,233.64,264,3,1.14,3226.14
173,East,4528,Casual Fan,Tigers,P02334,Footwear,5,141.61,708.05,279,5,1.79,1271.09
174,West,6501,Loyal Fan,Eagles,P04834,Jerseys,3,112.43,337.29,439,3,0.68,1601.99
175,West,4770,Online Shopper,Lions,P04651,Jerseys,5,22.63,113.15,482,5,1.04,2008.31
176,South,1567,Loyal Fan,Warriors,P02336,Jerseys,1,71.02,71.02,322,1,0.31,2259.32
177,East,9095,Casual Fan,Eagles,P04255,Training Gear,5,68.54,342.7,113,5,4.42,489.73
178,East,9396,Loyal Fan,Sharks,P04123,Footwear,5,25.74,128.7,126,3,2.38,291.29
179,North,7245,Online Shopper,Lions,P04214,Accessories,5,128.38,641.9,155,5,3.23,4186.84
180,East,9940,Casual Fan,Tigers,P03936,Training Gear,2,49.41,98.82,324,2,0.62,2761.44
181,North,2422,Season Ticket Holder,Bulls,P03922,Accessories,5,62.32,311.6,496,5,1.01,806.83
182,East,7314,Loyal Fan,Sharks,P02777,Footwear,4,147.16,588.64,323,4,1.24,1617.25
183,South,6365,Casual Fan,Sharks,P00349,Footwear,1,105.49,105.49,466,1,0.21,507.36
184,East,8771,Casual Fan,Eagles,P01698,Footwear,1,122.82,122.82,307,1,0.33,893.06
185,North,5904,Online Shopper,Warriors,P03095,Accessories,2,24.74,49.48,112,2,1.79,2033.46
186,North,4245,Casual Fan,Bulls,P00733,Footwear,3,85.6,256.8,157,3,1.91,2883
187,South,6542,Online Shopper,Warriors,P03863,Training Gear,4,110.18,440.72,138,4,2.9,3295.25
188,East,2529,Season Ticket Holder,Eagles,P00099,Fan Merchandise,3,123.86,371.58,328,3,0.91,3108.81
189,East,8216,Loyal Fan,Sharks,P02625,Jerseys,5,133.87,669.35,252,5,1.98,912.23
190,South,9617,Season Ticket Holder,Lions,P03671,Jerseys,3,22.58,67.74,438,3,0.68,1874.15
191,East,6184,Online Shopper,Sharks,P02433,Accessories,4,113.5,454,449,4,0.89,3267.52
192,East,8179,Season Ticket Holder,Eagles,P02764,Footwear,2,23.74,47.48,60,2,3.33,2299.13
193,North,5337,Loyal Fan,Sharks,P03633,Jerseys,2,66.58,133.16,245,1,0.41,3201.32
194,East,1344,Season Ticket Holder,Bulls,P02648,Fan Merchandise,5,72.47,362.35,462,5,1.08,3450.61
195,East,4142,Casual Fan,Sharks,P02259,Jerseys,4,50.13,200.52,442,4,0.9,1666.14
196,South,4558,Loyal Fan,Sharks,P04412,Fan Merchandise,2,130.86,261.72,175,2,1.14,1390.23
197,South,4334,Season Ticket Holder,Sharks,P01026,Training Gear,5,92.09,460.45,451,5,1.11,2351.16
198,West,7487,Loyal Fan,Lions,P00692,Training Gear,3,29.67,89.01,323,3,0.93,2298.28
199,North,6870,Season Ticket Holder,Tigers,P00097,Jerseys,4,62.18,248.72,106,4,3.77,4567.96
200,East,1576,Casual Fan,Tigers,P02680,Jerseys,2,21.03,42.06,471,2,0.42,4602.4
201,East,5620,Online Shopper,Warriors,P03906,Footwear,4,79.24,316.96,76,4,5.26,1378.15
202,West,1569,Season Ticket Holder,Tigers,P01452,Jerseys,2,59.68,119.36,247,2,0.81,386.72
203,East,5382,Loyal Fan,Tigers,P03736,Footwear,2,55.06,110.12,149,2,1.34,3412.08
204,North,1426,Season Ticket Holder,Tigers,P03344,Footwear,4,128.05,512.2,268,2,0.75,240.02
205,West,3911,Online Shopper,Sharks,P01824,Jerseys,2,128.96,257.92,252,2,0.79,2423.46
206,North,6014,Casual Fan,Sharks,P04290,Jerseys,3,105.11,315.33,363,3,0.83,3133.29
207,West,2630,Casual Fan,Bulls,P01147,Training Gear,5,138.7,693.5,87,5,5.75,985.53
208,West,9866,Online Shopper,Lions,P04705,Jerseys,1,101.66,101.66,58,1,1.72,1538.08
209,South,1954,Casual Fan,Sharks,P04828,Jerseys,4,96.66,386.64,382,4,1.05,4935.47
210,North,6981,Season Ticket Holder,Sharks,P02437,Accessories,4,23.12,92.48,323,4,1.24,1107.36
211,East,3253,Loyal Fan,Tigers,P04246,Fan Merchandise,5,11.46,57.3,114,5,4.39,211.42
212,East,6686,Season Ticket Holder,Lions,P03948,Footwear,3,39.38,118.14,392,3,0.77,945.72
213,North,2691,Online Shopper,Lions,P01796,Jerseys,1,120.15,120.15,342,1,0.29,868.15
214,East,8245,Season Ticket Holder,Tigers,P00940,Accessories,3,140.09,420.27,337,3,0.89,1940.12
215,East,2876,Season Ticket Holder,Tigers,P02900,Fan Merchandise,4,42.15,168.6,103,4,3.88,4055.82
216,North,1877,Online Shopper,Lions,P04200,Training Gear,1,33.6,33.6,460,1,0.22,2558.05
217,West,8025,Loyal Fan,Eagles,P04297,Accessories,2,126.98,253.96,451,2,0.44,3899.45
218,North,4622,Casual Fan,Tigers,P03988,Footwear,4,63.14,252.56,353,4,1.13,4657.61
219,West,4394,Online Shopper,Tigers,P00530,Footwear,3,146.9,440.7,233,3,1.29,360.18
220,East,7532,Casual Fan,Lions,P00947,Jerseys,5,144.52,722.6,160,5,3.12,1872.11
221,East,3724,Casual Fan,Eagles,P00183,Accessories,2,56.81,113.62,257,2,0.78,2669.02
222,East,9857,Online Shopper,Bulls,P01779,Training Gear,1,88.38,88.38,172,1,0.58,2539.1
223,South,9923,Loyal Fan,Eagles,P03662,Fan Merchandise,4,105.16,420.64,87,4,4.6,4115.07
224,West,7683,Online Shopper,Warriors,P01943,Jerseys,5,99.6,498,358,5,1.4,1767.34
225,South,5300,Online Shopper,Eagles,P03829,Jerseys,5,146.56,732.8,492,5,1.02,201.69
226,South,6873,Season Ticket Holder,Tigers,P04323,Footwear,3,60.27,180.81,112,3,2.68,2471.4
227,North,1950,Season Ticket Holder,Sharks,P04717,Training Gear,5,111.63,558.15,481,5,1.04,2663.78
228,South,2406,Online Shopper,Lions,P00699,Training Gear,3,91.34,274.02,50,3,6,3332.84
229,North,9857,Season Ticket Holder,Bulls,P03014,Jerseys,1,82.88,82.88,476,1,0.21,3239.23
230,North,1103,Loyal Fan,Tigers,P04969,Jerseys,4,30.77,123.08,306,4,1.31,4884.83
231,South,6921,Season Ticket Holder,Bulls,P02560,Footwear,1,115.51,115.51,402,1,0.25,4082.5
232,West,9003,Loyal Fan,Lions,P01087,Footwear,3,65.66,196.98,187,3,1.6,3231.57
233,West,3645,Casual Fan,Bulls,P00906,Fan Merchandise,1,28.1,28.1,55,1,1.82,4673.82
234,West,2542,Casual Fan,Eagles,P04417,Footwear,4,11.6,46.4,414,4,0.97,289
235,West,6484,Loyal Fan,Lions,P01428,Training Gear,4,30.8,123.2,201,4,1.99,2833.28
236,West,2364,Casual Fan,Tigers,P01319,Accessories,5,106.65,533.25,314,5,1.59,1879.88
237,South,8923,Loyal Fan,Sharks,P01711,Training Gear,3,114.83,344.49,210,3,1.43,4804.39
238,South,1370,Online Shopper,Tigers,P03220,Footwear,1,16.42,16.42,64,1,1.56,1389.23
239,East,1161,Season Ticket Holder,Warriors,P04068,Training Gear,5,31.67,158.35,87,5,5.75,1243.37
240,West,8468,Casual Fan,Lions,P02481,Jerseys,5,149.89,749.45,441,3,0.68,254.08
241,South,7187,Casual Fan,Tigers,P04640,Footwear,1,67.94,67.94,419,1,0.24,902.96
242,East,4332,Online Shopper,Eagles,P04345,Jerseys,3,135.3,405.9,395,3,0.76,1747.01
243,West,3860,Season Ticket Holder,Eagles,P02255,Footwear,3,66.95,200.85,59,3,5.08,1879.03
244,North,4558,Season Ticket Holder,Bulls,P01639,Footwear,4,84.07,336.28,195,4,2.05,330.4
245,East,7885,Loyal Fan,Tigers,P03825,Jerseys,3,132.59,397.77,75,3,4,4266.21
246,South,5647,Casual Fan,Bulls,P03623,Fan Merchandise,5,148.58,742.9,309,5,1.62,1456.15
247,North,3889,Season Ticket Holder,Warriors,P02012,Jerseys,4,19.94,79.76,218,2,0.92,3275.08
248,North,7921,Casual Fan,Lions,P03488,Training Gear,2,98.51,197.02,284,2,0.7,4352.63
249,North,1163,Casual Fan,Warriors,P02369,Fan Merchandise,4,75.58,302.32,249,4,1.61,4313.55
250,East,1811,Casual Fan,Sharks,P02557,Jerseys,5,85.49,427.45,394,5,1.27,2008.27
251,South,7548,Casual Fan,Bulls,P03746,Accessories,1,38.24,38.24,288,1,0.35,2060.96
252,North,8188,Loyal Fan,Tigers,P01449,Jerseys,1,135.21,135.21,182,1,0.55,2725.03
253,West,5345,Season Ticket Holder,Bulls,P02755,Jerseys,1,50.15,50.15,53,1,1.89,973.22
254,North,3039,Casual Fan,Warriors,P01255,Footwear,5,29.51,147.55,412,5,1.21,2922.24
255,North,2061,Season Ticket Holder,Sharks,P04298,Fan Merchandise,4,109.24,436.96,57,4,7.02,4971.32
256,East,4715,Online Shopper,Warriors,P03216,Jerseys,1,147.26,147.26,51,1,1.96,2813.59
257,East,1983,Online Shopper,Sharks,P00316,Accessories,3,43.65,130.95,436,3,0.69,3120.36
258,South,6882,Season Ticket Holder,Eagles,P03402,Footwear,2,75.66,151.32,293,1,0.34,290.51
259,West,1429,Loyal Fan,Eagles,P00302,Fan Merchandise,1,19.07,19.07,335,1,0.3,1903.89
260,East,2520,Loyal Fan,Tigers,P02940,Jerseys,1,56.69,56.69,184,1,0.54,1578.48
261,North,4678,Online Shopper,Warriors,P01140,Accessories,2,122.81,245.62,349,2,0.57,2381.64
262,South,4217,Casual Fan,Eagles,P02273,Accessories,3,133.42,400.26,201,3,1.49,2997.24
