ProductID,InventoryUnits,UnitsSold,SellThroughRatePct
P00572,134,27,20.15
P00573,356,180,50.56
P00574,103,76,73.79
P00575,169,123,72.78
P00576,286,167,58.39
P00577,220,140,63.64
P00578,140,94,67.14
P00579,78,35,44.87
P00580,57,14,24.56
P00581,136,72,52.94
P00582,177,34,19.21
P00583,103,66,64.08
P00584,279,103,36.92
P00585,448,122,27.23
P00586,371,240,64.69
P00587,188,32,17.02
P00588,247,181,73.28
P00589,396,284,71.72
P00590,483,239,49.48
P00591,298,168,56.38
P00592,139,17,12.23
P00593,440,169,38.41
P00594,281,190,67.62
P00595,63,7,11.11
P00596,163,47,28.83
P00597,289,95,32.87
P00598,413,223,54.0
P00599,433,242,55.89
P00600,134,19,14.18
P00601,375,91,24.27
P00602,482,307,63.69
P00603,409,92,22.49
P00604,372,106,28.49
P00605,408,84,20.59
P00606,300,177,59.0
P00607,322,38,11.8
P00608,289,86,29.76
P00609,480,214,44.58
P00610,213,22,10.33
P00611,399,287,71.93
P00612,59,39,66.1
P00613,238,124,52.1
P00614,461,178,38.61
P00615,159,32,20.13
P00616,407,187,45.95
P00617,276,71,25.72
P00618,110,57,51.82
P00619,97,19,19.59
P00620,104,59,56.73
P00621,259,80,30.89
P00622,188,80,42.55
P00623,452,93,20.58
P00624,393,105,26.72
P00625,114,45,39.47
P00626,276,110,39.86
P00627,394,295,74.87
P00628,344,109,31.69
P00629,54,8,14.81
P00630,52,23,44.23
P00631,312,96,30.77
P00632,465,312,67.1
P00633,72,17,23.61
P00634,124,81,65.32
P00635,134,71,52.99
P00636,193,43,22.28
P00637,450,164,36.44
P00638,476,200,42.02
P00639,187,82,43.85
P00640,379,136,35.88
P00641,54,26,48.15
P00642,279,158,56.63
P00643,332,142,42.77
P00644,438,215,49.09
P00645,419,276,65.87
P00646,77,33,42.86
P00647,235,87,37.02
P00648,84,22,26.19
P00649,54,10,18.52
P00650,119,35,29.41
P00651,469,171,36.46
P00652,169,101,59.76
P00653,382,92,24.08
P00654,369,205,55.56
P00655,440,67,15.23
P00656,289,59,20.42
P00657,488,152,31.15
P00658,241,98,40.66
P00659,404,88,21.78
P00660,402,69,17.16
P00661,294,138,46.94
P00662,192,71,36.98
P00663,121,45,37.19
P00664,88,26,29.55
P00665,274,94,34.31
P00666,228,50,21.93
P00667,144,40,27.78
P00668,394,178,45.18
P00669,123,54,43.9
P00670,263,181,68.82
P00671,242,155,64.05
P00672,489,51,10.43
P00673,96,24,25.0
P00674,435,294,67.59
P00675,358,109,30.45
P00676,405,166,40.99
P00677,400,215,53.75
P00678,397,180,45.34
P00679,245,25,10.2
P00680,311,73,23.47
P00681,214,35,16.36
P00682,455,95,20.88
P00683,151,30,19.87
P00684,315,159,50.48
P00685,144,52,36.11
P00686,217,31,14.29
P00687,483,74,15.32
P00688,138,99,71.74
P00689,448,90,20.09
P00690,415,110,26.51
P00691,214,101,47.2
P00692,217,48,22.12
P00693,52,12,23.08
P00694,405,60,14.81
P00695,349,257,73.64
P00696,492,243,49.39
P00697,181,80,44.2
P00698,229,155,67.69
P00699,358,174,48.6
P00700,203,55,27.09
P00701,193,79,40.93
P00702,126,52,41.27
P00703,494,177,35.83
P00704,263,155,58.94
P00705,396,68,17.17
P00706,344,70,20.35
P00707,319,109,34.17
P00708,190,28,14.74
P00709,191,142,74.35
P00710,268,113,42.16
P00711,110,15,13.64
P00712,291,144,49.48
P00713,90,55,61.11
P00714,173,63,36.42
P00715,334,138,41.32
P00716,60,33,55.0
P00717,70,18,25.71
P00718,147,72,48.98
P00719,390,199,51.03
P00720,411,256,62.29
P00721,50,34,68.0
P00722,175,125,71.43
P00723,75,14,18.67
P00724,56,35,62.5
P00725,473,255,53.91
P00726,241,82,34.02
P00727,407,285,70.02
P00728,357,235,65.83
P00729,252,152,60.32
P00730,388,53,13.66
P00731,161,35,21.74
P00732,236,164,69.49
P00733,220,162,73.64
P00734,307,86,28.01
P00735,144,40,27.78
P00736,385,191,49.61
P00737,428,64,14.95
P00738,450,219,48.67
P00739,452,330,73.01
P00740,337,99,29.38
P00741,409,238,58.19
P00742,360,159,44.17
P00743,478,137,28.66
P00744,94,35,37.23
P00745,139,64,46.04
P00746,239,142,59.41
P00747,329,149,45.29
P00748,450,316,70.22
P00749,92,16,17.39
P00750,122,88,72.13
P00751,437,200,45.77
P00752,189,67,35.45
P00753,57,9,15.79
P00754,355,104,29.3
P00755,444,171,38.51
P00756,455,323,70.99
P00757,434,257,59.22
P00758,76,11,14.47
P00759,110,34,30.91
P00760,441,185,41.95
P00761,361,236,65.37
P00762,149,90,60.4
P00763,224,54,24.11
P00764,437,58,13.27
P00765,467,87,18.63
P00766,450,192,42.67
P00767,257,41,15.95
P00768,398,104,26.13
P00769,70,44,62.86
P00770,465,168,36.13
P00771,149,111,74.5
P00772,482,285,59.13
P00773,57,16,28.07
P00774,466,49,10.52
P00775,287,127,44.25
P00776,280,156,55.71
P00777,354,143,40.4
P00778,258,178,68.99
P00779,477,286,59.96
P00780,97,43,44.33
P00781,345,39,11.3
P00782,147,47,31.97
P00783,66,28,42.42
P00784,343,90,26.24
P00785,355,229,64.51
P00786,107,40,37.38
P00787,377,88,23.34
P00788,474,287,60.55
P00789,362,179,49.45
P00790,152,35,23.03
P00791,88,39,44.32
P00792,89,49,55.06
P00793,328,128,39.02
P00794,155,46,29.68
P00795,217,119,54.84
P00796,72,39,54.17
P00797,248,28,11.29
P00798,124,31,25.0
P00799,242,126,52.07
P00800,314,77,24.52
P00801,482,350,72.61
P00802,180,37,20.56
P00803,194,114,58.76
P00804,410,307,74.88
P00805,478,155,32.43
P00806,232,114,49.14
P00807,205,35,17.07
P00808,371,187,50.4
P00809,388,288,74.23
P00810,368,270,73.37
P00811,337,124,36.8
P00812,111,70,63.06
P00813,167,106,63.47
P00814,75,23,30.67
P00815,225,143,63.56
P00816,428,88,20.56
P00817,150,110,73.33
P00818,365,242,66.3
P00819,239,103,43.1
P00820,128,45,35.16
P00821,150,107,71.33
P00822,355,52,14.65
P00823,405,172,42.47
P00824,198,82,41.41
P00825,462,161,34.85
P00826,75,13,17.33
P00827,308,81,26.3
P00828,152,112,73.68
P00829,451,282,62.53
P00830,390,252,64.62
P00831,76,33,43.42
P00832,225,119,52.89
P00833,385,165,42.86
P00834,295,159,53.9
P00835,270,179,66.3
P00836,111,29,26.13
P00837,306,220,71.9
P00838,91,63,69.23
P00839,193,72,37.31
P00840,157,115,73.25
P00841,345,232,67.25
P00842,262,33,12.6
P00843,241,31,12.86
P00844,431,241,55.92
P00845,225,137,60.89
P00846,393,103,26.21
P00847,449,190,42.32
P00848,122,55,45.08
P00849,385,150,38.96
P00850,82,12,14.63
P00851,338,82,24.26
P00852,151,95,62.91
P00853,165,24,14.55
P00854,433,218,50.35
P00855,133,68,51.13
P00856,282,204,72.34
P00857,401,297,74.06
P00858,413,295,71.43
P00859,142,64,45.07
P00860,216,27,12.5
P00861,302,85,28.15
P00862,315,129,40.95
P00863,123,15,12.2
P00864,317,39,12.3
P00865,50,16,32.0
P00866,332,117,35.24
P00867,381,182,47.77
P00868,261,184,70.5
P00869,160,57,35.62
P00870,157,21,13.38
P00871,360,162,45.0
P00872,242,81,33.47
P00873,468,321,68.59
P00874,488,186,38.11
P00875,245,76,31.02
P00876,172,98,56.98
P00877,415,175,42.17
P00878,376,173,46.01
P00879,124,25,20.16
P00880,475,163,34.32
P00881,140,18,12.86
P00882,304,180,59.21
P00883,134,35,26.12
P00884,270,48,17.78
P00885,331,160,48.34
P00886,104,50,48.08
P00887,166,51,30.72
P00888,388,282,72.68
P00889,480,246,51.25
P00890,460,323,70.22
P00891,388,115,29.64
P00892,491,225,45.82
P00893,124,46,37.1
P00894,140,52,37.14
P00895,232,30,12.93
P00896,464,113,24.35
P00897,409,272,66.5
P00898,216,141,65.28
P00899,57,10,17.54
P00900,328,37,11.28
P00901,188,31,16.49
P00902,150,77,51.33
P00903,146,37,25.34
P00904,161,96,59.63
P00905,193,20,10.36
P00906,328,185,56.4
P00907,123,83,67.48
P00908,268,35,13.06
P00909,464,308,66.38
P00910,483,336,69.57
P00911,423,190,44.92
P00912,169,48,28.4
P00913,115,54,46.96
P00914,445,134,30.11
P00915,231,163,70.56
P00916,257,117,45.53
P00917,241,149,61.83
P00918,110,55,50.0
P00919,374,108,28.88
P00920,157,67,42.68
P00921,154,103,66.88
P00922,390,136,34.87
P00923,370,119,32.16
P00924,421,304,72.21
P00925,367,116,31.61
P00926,67,44,65.67
P00927,237,51,21.52
P00928,234,144,61.54
P00929,194,97,50.0
P00930,272,48,17.65
P00931,273,39,14.29
P00932,326,96,29.45
P00933,481,254,52.81
P00934,342,114,33.33
P00935,469,130,27.72
P00936,423,202,47.75
P00937,380,273,71.84
P00938,173,31,17.92
P00939,310,161,51.94
P00940,100,69,69.0
P00941,465,210,45.16
P00942,133,97,72.93
P00943,157,77,49.04
P00944,471,253,53.72
P00945,104,64,61.54
P00946,296,68,22.97
P00947,308,143,46.43
P00948,148,74,50.0
P00949,225,40,17.78
P00950,403,160,39.7
P00951,370,222,60.0
P00952,314,40,12.74
P00953,294,108,36.73
P00954,215,42,19.53
P00955,330,71,21.52
P00956,58,25,43.1
P00957,81,10,12.35
P00958,402,151,37.56
P00959,128,15,11.72
P00960,372,261,70.16
P00961,57,38,66.67
P00962,167,40,23.95
P00963,472,67,14.19
P00964,169,44,26.04
P00965,492,58,11.79
P00966,172,99,57.56
P00967,336,159,47.32
P00968,351,159,45.3
P00969,335,219,65.37
P00970,182,114,62.64
P00971,391,143,36.57
P00972,189,94,49.74
P00973,416,161,38.7
P00974,219,111,50.68
P00975,426,85,19.95
P00976,491,145,29.53
P00977,389,103,26.48
P00978,257,54,21.01
P00979,240,89,37.08
P00980,219,125,57.08
P00981,208,74,35.58
P00982,261,193,73.95
P00983,268,79,29.48
P00984,373,267,71.58
P00985,450,102,22.67
P00986,447,138,30.87
P00987,321,66,20.56
P00988,495,126,25.45
P00989,452,91,20.13
P00990,268,136,50.75
P00991,235,54,22.98
P00992,257,40,15.56
P00993,60,16,26.67
P00994,198,107,54.04
P00995,222,84,37.84
P00996,400,81,20.25
P00997,168,24,14.29
P00998,345,198,57.39
P00999,194,108,55.67
P01000,213,85,39.91
P01001,81,36,44.44
P01002,283,73,25.8
P01003,93,39,41.94
P01004,142,81,57.04
P01005,275,165,60.0
P01006,362,116,32.04
P01007,231,125,54.11
P01008,163,68,41.72
P01009,453,263,58.06
P01010,207,114,55.07
P01011,194,114,58.76
P01012,80,17,21.25
P01013,208,64,30.77
P01014,148,40,27.03
P01015,209,82,39.23
P01016,137,55,40.15
P01017,138,74,53.62
P01018,380,179,47.11
P01019,263,125,47.53
P01020,362,185,51.1
P01021,309,86,27.83
P01022,292,72,24.66
P01023,259,62,23.94
P01024,224,136,60.71
P01025,167,27,16.17
P01026,450,137,30.44
P01027,234,66,28.21
P01028,447,217,48.55
P01029,395,277,70.13
P01030,321,215,66.98
P01031,429,72,16.78
P01032,346,156,45.09
P01033,417,52,12.47
P01034,408,251,61.52
P01035,340,117,34.41
P01036,375,90,24.0
P01037,417,173,41.49
P01038,151,58,38.41
P01039,444,317,71.4
P01040,276,34,12.32
P01041,105,75,71.43
P01042,118,30,25.42
P01043,387,75,19.38
P01044,414,241,58.21
P01045,344,151,43.9
P01046,344,235,68.31
P01047,439,199,45.33
P01048,490,210,42.86
P01049,424,99,23.35
P01050,111,80,72.07
P01051,411,219,53.28
P01052,279,137,49.1
P01053,409,251,61.37
P01054,375,62,16.53
P01055,355,235,66.2
P01056,440,187,42.5
P01057,118,73,61.86
P01058,434,244,56.22
P01059,206,81,39.32
P01060,140,84,60.0
P01061,374,213,56.95
P01062,492,50,10.16
P01063,89,50,56.18
P01064,491,211,42.97
P01065,204,132,64.71
P01066,486,304,62.55
P01067,72,15,20.83
P01068,326,37,11.35
P01069,290,66,22.76
P01070,424,247,58.25
P01071,262,175,66.79
P01072,84,47,55.95
P01073,132,84,63.64
P01074,164,79,48.17
P01075,442,190,42.99
P01076,91,66,72.53
P01077,427,65,15.22
P01078,277,104,37.55
P01079,304,85,27.96
P01080,484,87,17.98
P01081,395,195,49.37
P01082,342,93,27.19
P01083,420,168,40.0
P01084,257,49,19.07
P01085,468,165,35.26
P01086,406,93,22.91
P01087,489,334,68.3
P01088,297,131,44.11
P01089,339,210,61.95
P01090,255,106,41.57
P01091,466,59,12.66
P01092,333,184,55.26
P01093,121,16,13.22
P01094,280,100,35.71
P01095,109,50,45.87
P01096,338,205,60.65
P01097,364,249,68.41
P01098,411,96,23.36
P01099,119,63,52.94
P01100,258,105,40.7
P01101,209,125,59.81
P01102,236,168,71.19
P01103,472,211,44.7
P01104,301,86,28.57
P01105,249,154,61.85
P01106,457,202,44.2
P01107,289,195,67.47
P01108,240,112,46.67
P01109,293,208,70.99
P01110,431,48,11.14
P01111,253,147,58.1
P01112,327,106,32.42
P01113,130,69,53.08
P01114,55,39,70.91
P01115,80,42,52.5
P01116,264,154,58.33
P01117,373,76,20.38
P01118,144,30,20.83
P01119,474,224,47.26
P01120,117,44,37.61
P01121,363,63,17.36
P01122,155,89,57.42
P01123,76,42,55.26
P01124,370,59,15.95
P01125,283,37,13.07
P01126,332,115,34.64
P01127,473,242,51.16
P01128,291,198,68.04
P01129,428,164,38.32
P01130,272,42,15.44
P01131,207,134,64.73
P01132,225,41,18.22
P01133,205,105,51.22
P01134,448,165,36.83
P01135,280,194,69.29
P01136,469,262,55.86
P01137,163,16,9.82
P01138,393,135,34.35
P01139,101,22,21.78
P01140,179,51,28.49
P01141,65,23,35.38
P01142,461,208,45.12
P01143,184,114,61.96
P01144,418,65,15.55
P01145,241,93,38.59
P01146,105,69,65.71
P01147,204,78,38.24
P01148,203,89,43.84
P01149,279,169,60.57
P01150,197,111,56.35
P01151,354,153,43.22
P01152,378,275,72.75
P01153,119,15,12.61
P01154,285,39,13.68
P01155,310,117,37.74
P01156,170,34,20.0
P01157,397,96,24.18
P01158,153,30,19.61
P01159,442,243,54.98
P01160,255,95,37.25
P01161,214,137,64.02
